store,address,Latitude,Longitude,tel
홈플러스 가양점,서울특별시 강서구 양천로 431,37.5642454,126.8499416,02-2063-2080
홈플러스 가좌점,인천광역시 서구 가정로 151번길 11,37.4975674,126.6706903,032-453-8000
홈플러스 간석점,인천광역시 남동구 경원대로 971,37.4695239,126.6890686,032-870-8000
홈플러스 강동점,서울특별시 강동구 양재대로 1571(메르디안 쇼핑센터),37.5456582,127.1422439,02-3400-8000
홈플러스 강릉점,강원도 강릉시 경강로 2120,37.7556587,128.8986211,033-649-8000
홈플러스 강서점,서울특별시 강서구 화곡로 398,37.5586315,126.8544319,02-2660-8000
홈플러스 거제점,경상남도 거제시 장평로 12,34.8911104,128.616421,055-686-8000
홈플러스 경기하남점,경기도 하남시 하남대로 747,37.5379631,127.2125925,031-777-7000
홈플러스 경산점,경상북도 경산시 경안로 288,35.8291168,128.734837,053-715-8000
홈플러스 경주점,경상북도 경주시 공단로 97,35.8736152,129.2246191,054-770-8000
홈플러스 계룡점,충청남도 계룡시 계룡대로 304,36.2739802,127.2571515,042-550-8000
홈플러스 계산점,인천광역시 계양구 오조산 공원로 14,37.5394297,126.736176,032-551-2080
홈플러스 고양터미널점,경기도 고양시 일산동구 중앙로 1036,37.6432013,126.7897215,031-936-7800
홈플러스 광양점,전라남도 광양시 항만11로 70,34.9285758,127.6942947,061-760-8000
홈플러스 광주계림점,광주광역시 동구 무등로 314,35.1614033,126.9166696,062-530-8000
홈플러스 광주하남점,광주광역시 광산구 용아로 390,35.1779828,126.8054265,062-616-8000
홈플러스 구미점,경상북도 구미시 구미대로 174,36.1027409,128.3637515,054-459-8000
홈플러스 구월점,인천광역시 남동구 예술로 198,37.4516923,126.7019408,032-428-2080
홈플러스 금천점,서울특별시 금천구 시흥대로 391,37.4686493,126.8968106,02-890-8000
홈플러스 김제점,전라북도 김제시 금성로 114,35.7997275,126.9028233,063-540-8000
홈플러스 김포점,경기도 김포시 중봉로 14,37.6240028,126.6987451,031-999-8000
홈플러스 김포풍무점,경기도 김포시 풍무로 167,37.6099507,126.7236531,031-999-0000
홈플러스 김해점,경상남도 김해시 김해대로 2078,35.2418908,128.8701192,055-320-8000
홈플러스 남대구점,대구광역시 남구 대명로 116,35.8388221,128.570119,053-659-8000
홈플러스 내당점,대구광역시 서구 달구벌대로 1821,35.8606036,128.5635906,053-567-2080
홈플러스 논산점,충청남도 논산시 시민로 187,36.1833874,127.0981892,041-731-8000
홈플러스 대구수성점,대구광역시 수성구 동대구로 95,35.83871,128.6230423,053-760-8000
홈플러스 대전가오점,대전광역시 동구 은어송로 72,36.3069634,127.4579836,042-281-8000
홈플러스 동광주점,광주광역시 북구 동문대로 200,35.1794552,126.9304542,062-250-8000
홈플러스 동대문점,서울특별시 동대문구 천호대로 133,37.5745108,127.0387578,02-2173-8000
홈플러스 동대전점,대전광역시 동구 한밭대로 1282,36.3537971,127.4373712,042-608-8000
홈플러스 동래점,부산광역시 동래구 중앙대로 1523,35.2212587,129.0856203,051-559-8000
홈플러스 동수원점,경기도 수원시 팔달구 효원로 257,37.2627412,127.0301178,031-231-8000
홈플러스 동청주점,충청북도 청주시 청원구 충청대로 114 지하1층,36.6665479,127.4943746,043-290-8000
홈플러스 동촌점,대구광역시 동구 동촌로 127,35.8861564,128.6556698,053-559-2080
홈플러스 마산점,경상남도 창원시 마산회원구 삼호로 56,35.2226108,128.5857659,055-259-8000
홈플러스 면목점,서울특별시 중랑구 사가정로 332 (면목동),37.5808178,127.0798833,02-437-2080
홈플러스 목동점,서울특별시 양천구 목동서로 170,37.5302083,126.8732314,02-2644-2080
홈플러스 목포점,전라남도 목포시 영산로 313,34.8059169,126.3996951,061-241-8000
홈플러스 문경점,경상북도 문경시 모전로 65,36.5873247,128.1904469,054-559-8000
홈플러스 문화점,대전광역시 중구 계백로 1690,36.3203974,127.407634,042-226-2080
