store,address,Latitude,Longitude,tell
롯데마트 TRU동부산점,부산광역시 기장군 기장읍 기장해안로 147 롯데몰동부산점 3층,35.2188193,129.2313695,051-922-2500
롯데마트 TRU파주점,"경기도 파주시 문발로 302 A블럭 3층(문발동, 롯데프리미엄아울렛)",37.7204096,126.6936224,031-960-2750
롯데마트 marketD수원점,경기도 수원시 권선구 세화로 134 롯데마트,37.2653782,126.9959828,031-8067-2500
롯데마트 강변점,서울특별시 광진구 광나루로56길 85 롯데마트,37.5349372,127.0957088,02-3424-2500
롯데마트 거제점,경상남도 거제시 서간도길 9-9 (옥포동),34.8885012,128.6891835,055-641-2500
롯데마트 검단점,인천 서구 원당대로 581 롯데마트,37.5944905,126.6645642,032-560-2500
롯데마트 경기양평점,경기 양평군 양평읍 남북로 76 롯데마트,37.4893905,127.5025753,031-8079-2500
롯데마트 계양점,인천 계양구 장제로 822 롯데마트,37.5406983,126.7360097,032-550-2500
롯데마트 고양점,경기 고양시 덕양구 충장로 150 롯데마트,37.6251676,126.8362978,031-930-7000
롯데마트 광교점,경기 수원시 영통구 센트럴타운로 85 롯데마트,37.2500467,127.0346118,031-410-2500
롯데마트 광복점,부산시 중구 중앙대로 2 롯데마트,35.096715,129.0367482,051-441-2500
롯데마트 구미점,경북 구미시 구미대로22길 11 롯데마트,36.1137596,128.3653763,054-440-2500
롯데마트 군산점,전북 군산시 수송로 185 롯데마트,35.9647244,126.7163921,063-441-2500
롯데마트 권선점,경기 수원시 권선구 동수원로 232 롯데마트,37.2500467,127.0346118,031-229-7700
롯데마트 금천점,서울 금천구 시흥대로 291 롯데마트,37.4506854,126.9012586,02-6960-2500
롯데마트 김천점,경북 김천시 시청로 80 롯데마트,36.1359303,128.1178844,054-748-2500
롯데마트 김포공항점,서울시 강서구 하늘길 38,37.5667733,126.8025118,02-6124-2500
롯데마트 김포한강점,경기 김포시 김포한강2로 41 장기동. e편한세상 캐널시티,37.640444,126.6774695,031-8049-2500
롯데마트 김해점,경상남도 김해시 김해대로 2330 (부원동),35.2224512,128.8900056,055-632-2500
롯데마트 나주점,전남 나주시 내동길 15 (송월동),35.0134842,126.7119553,061-339-3200
롯데마트 남악점,전남 무안군 삼향읍 남악로162번길 80 롯데마트,34.8046034,126.4574013,061-740-2500
롯데마트 남원점,전북 남원시 향교동 춘향로 96 롯데마트,35.4315495,127.3837685,063-620-2500
롯데마트 노은점,대전광역시 유성구 북유성대로 206 롯데마트,36.3843091,127.3215537,042-525-2500
롯데마트 당진점,충남 당진시 정안로 20 롯데마트,36.9055041,126.6462036,041-832-2500
롯데마트 대구율하점,대구 동구 안심로 80 롯데마트,35.86846,128.6934002,053-607-2500
롯데마트 대덕점,대전 유성구 테크노중앙로 14 롯데마트,36.4262288,127.3913592,042-930-2500
롯데마트 덕소점,경기 남양주시 와부읍 월문천로 33 롯데마트,37.5846917,127.2144896,031-579-7700
롯데마트 동두천점,경기 동두천시 평화로2169번길 21 (송내동),37.8760279,127.081309,031-830-2500
롯데마트 동래점,부산 동래구 중앙대로 1393 롯데마트,35.2114828,129.0776055,051-668-2500
롯데마트 동부산점,부산 기장군 기장읍 기장해안로 147 롯데마트,35.2188193,129.2313695,051-922-2500
롯데마트 롯데맥스 목포점,전남 목포시 원형서로 15 (상동),34.7972245,126.4294761,061-280-2500
롯데마트 롯데맥스 상무점,광주광역시 서구 시청로 40 (치평동),35.1523726,126.8523783,062-602-2500
롯데마트 롯데맥스 송천점,전북 전주시 덕진구 송천중앙로 82 (송천동1가),35.8545668,127.120503,063-219-2500
롯데마트 롯데맥스 창원중앙점,경남 창원시 성산구 중앙대로 123(중앙동),35.2254304,128.680232,055-240-2500
롯데마트 롯데몰수지점,경기 용인시 수지구 성복2로 38 롯데마트,37.3173486,127.0657805,031-5174-2500
롯데마트 마산점,경남 창원시 마산합포구 신마산시장길 33 롯데마트,35.1813055,128.5607439,055-230-2500
롯데마트 마석점,경기 남양주시 화도읍 경춘로 1992 롯데마트,37.650166,127.3093975,031-748-2500
롯데마트 부산점,부산 부산진구 신천대로 241 롯데마트,35.1633095,129.0495603,051-608-2500
롯데마트 부평역점,인천 부평구 광장로 16 롯데마트,37.4897746,126.7233082,032-454-2500
롯데마트 부평점,인천 부평구 마장로 296 롯데마트,37.5049762,126.7040634,032-509-2500
롯데마트 사상점,부산 사상구 낙동대로 733 롯데마트,35.1270921,128.9685302,051-329-2500
롯데마트 사하점,부산 사하구 을숙도대로 610 롯데마트,35.0848397,128.9715769,051-603-2500
롯데마트 삼계점,경남 창원시 마산회원구 내서읍 경남대로 927 롯데마트,35.2330229,128.5040935,055-719-5200
롯데마트 삼산점,인천 부평구 길주로 623 롯데마트,37.507846,126.7320431,032-363-2500
롯데마트 삼양점,서울특별시 강북구 삼양로 247 롯데마트,37.6254731,127.0177185,02-2248-2500
롯데마트 상당점,충북 청주시 상당구 용암북로160번길 60 롯데마트,36.6204046,127.5161182,043-290-7000
롯데마트 상록점,경기도 안산시 상록구 반석로20 롯데마트,37.2965693,126.8619067,031-8086-0800
롯데마트 서대전점,대전 유성구 유성대로 26-37 롯데마트,36.3510743,127.3400659,042-540-2500
롯데마트 서산점,충남 서산시 충의로 27 롯데마트,36.7735212,126.4386374,041-665-2500
롯데마트 서울역점,서울 중구 청파로 426 롯데마트,37.5574069,126.9694999,02-390-2500
롯데마트 서청주점,충청북도 청주시 흥덕구 2순환로 1004 롯데마트,36.6565247,127.493741,043-254-2500
롯데마트 서초점,서울 서초구 서초대로 38길 12 롯데마트,37.4895766,127.0069383,02-918-2500
롯데마트 석사점,강원 춘천시 세실로 108 롯데마트,37.8668046,127.7591268,033-260-7700
롯데마트 선부점,경기 안산시 단원구 달미로 64 64,37.3393138,126.815899,031-487-2500
롯데마트 성정점,충남 천안시 서북구 성정두정로 1 롯데마트,36.8262462,127.1400882,041-553-2500
롯데마트 송도점,인천 연수구 컨벤시아대로 177 롯데마트,37.392921,126.646044,032-222-2500
롯데마트 송파점,서울 송파구 중대로 80 롯데마트,37.4917416,127.1178672,02-2295-2500
롯데마트 수완점,광주 광산구 장신로 98 롯데마트,35.1902505,126.8209779,062-975-2500
롯데마트 수원점,경기도 수원시 권선구 세화로 134 (서둔동),37.2702684,126.9846054,031-8067-2500
롯데마트 시티세븐점,경남 창원시 의창구 원이대로 320 롯데마트,35.239659,128.6544233,055-385-2500
롯데마트 시화점,경기 시흥시 마유로238번길 26 롯데마트,37.3374862,126.7304654,031-496-7700
롯데마트 시흥배곧점,경기 시흥시 서울대학로278번길 67 정왕동 동원아파트 맞은편,37.3623488,126.7570973,031-299-2500
롯데마트 시흥점,경기 시흥시 비둘기공원로 28 롯데마트,37.4439439,126.7913895,031-435-7500
롯데마트 신갈점,경기도 용인시 기흥구 중부대로 375 (신갈동),37.2832422,127.103435,031-442-2500
롯데마트 아산터미널점,충남 아산시 번영로 225 롯데마트,36.7846016,127.0160054,041-537-2500
롯데마트 안산점,경기 안산시 상록구 충장로 427 롯데마트,37.3171241,126.8479131,031-508-2500
롯데마트 안성점,경기 안성시 공도읍 서동대로 4478 롯데마트,37.0078165,127.198962,031-691-2500
롯데마트 양덕점,경상남도 창원시 마산회원구 삼호로 80 롯데마트,35.2239481,128.585122,055-243-2500
롯데마트 양평점,서울 영등포구 선유로 138 롯데마트,37.5260404,126.8917337,02-450-2500
롯데마트 여수점,전남 여수시 국포1로 36 36 롯데마트,34.7283116,127.7215556,061-640-2500
롯데마트 여천점,전남 여수시 무선로 187 롯데마트,34.7768534,127.6514717,061-650-2500
롯데마트 연수점,인천 연수구 청능대로 87 롯데마트,37.4150567,126.6751684,032-810-2500
롯데마트 영종도점,인천 중구 흰바위로 51 롯데마트 영종도점,37.4925791,126.4912589,032-747-2500
롯데마트 영통점,경기 수원시 영통구 봉영로 1579 롯데마트,37.2527036,127.0716535,031-290-4000
롯데마트 오산점,경기 오산시 경기대로 271 롯데마트,37.1494108,127.0730348,031-371-2500
롯데마트 울산점,울산 남구 삼산로 74 롯데마트,35.5340072,129.3159148,052-228-2500
롯데마트 웅상점,경남 양산시 삼호1길 34 롯데마트,35.4127076,129.1670202,055-379-2500
롯데마트 원주점,강원 원주시 봉화로 1 롯데마트,37.3523279,127.9290782,033-749-2500
롯데마트 월드컵점,광주 서구 금화로 240 월드컵경기장 內,35.1336571,126.8748604,062-610-2500
롯데마트 월드타워점,서울 송파구 신천동 올림픽로 300 롯데마트,37.5200705,127.0995,02-3213-2777
롯데마트 은평점,서울 은평구 통일로 1050 롯데마트,37.6123992,126.9292744,02-2097-2500
롯데마트 의왕점,경기 의왕시 계원대학로 7 롯데마트,37.3805035,126.9728853,031-470-2500
롯데마트 이천점,경기 이천시 구만리로 191 롯데마트,37.2731391,127.4544047,031-8011-2500
롯데마트 익산점,전북 익산시 무왕로 1053 롯데마트,35.9592947,126.9671608,063-830-2500
롯데마트 인천터미널점,"인천광역시 미추홀구 연남로 35, B1층(관교동, 롯데마트 인천터미널점)",37.4408903,126.7014122,032-242-6000
롯데마트 장암점,경기 의정부시 장곡로 224 롯데마트,37.7236292,127.0530165,031-849-2500
롯데마트 장유점,경남 김해시 장유면 번화1로56번길 15 롯데마트,35.1930323,128.8013109,055-311-2500
롯데마트 전주점,전북 전주시 완산구 우전로 240 롯데마트,35.8163187,127.1025147,063-249-2500
롯데마트 정읍점,전북 정읍시 벚꽃로 85 롯데마트,35.579284,126.839837,063-570-2500
롯데마트 제주점,제주 제주시 연북로 1 롯데마트,33.4824201,126.4819325,064-798-2500
롯데마트 제천점,충북 제천시 용두대로11길 10 롯데마트,37.1372549,128.1987938,043-647-2500
롯데마트 제타플렉스,서울 송파구 올림픽로 240 롯데마트 제타플렉스,37.5115176,127.0963012,02-411-8025
롯데마트 주엽점,경기 고양시 일산서구 중앙로 1496 롯데마트,37.6733388,126.7553321,031-913-2500
롯데마트 중계점,서울 노원구 노원로 330 롯데마트,37.6466623,127.0709672,02-2092-2500
롯데마트 진장점,울산 북구 진장유통로 64 롯데마트,35.5760993,129.359324,052-240-2500
롯데마트 진주점,경남 진주시 동진로 440 롯데마트,35.1785913,128.1497587,055-790-2500
롯데마트 진해점,경남 창원시 진해구 진해대로 762 롯데마트,35.1279791,128.7449228,055-541-2500
롯데마트 천천점,경기 수원시 장안구 만석로19번길 25-10 롯데마트,37.2960979,126.9824075,031-240-2500
롯데마트 첨단점,광주 광산구 첨단강변로99번길 22 롯데마트,35.2163562,126.8520507,062-962-2500
롯데마트 청라점,인천 서구 청라커낼로 252 롯데마트,37.5308509,126.6469619,032-590-2500
롯데마트 청량리점,서울 동대문구 왕산로 214 롯데마트,37.5792928,127.0479007,02-3298-2500
롯데마트 청주점,충북 청주시 흥덕구 풍산로 15 롯데마트,36.6268218,127.4317494,043-236-2500
롯데마트 춘천점,강원 춘천시 방송길 84 롯데마트,37.8685399,127.7180797,033-240-2500
롯데마트 충주점,충북 충주시 봉계1길 49 충주공용버스터미널,36.9819821,127.9145554,043-841-2500
롯데마트 통영점,경남 통영시 무전대로 65 롯데마트,34.8607178,128.4282532,055-640-2500
롯데마트 판교점,경기도 성남시 분당구 대왕판교로606번길 58 롯데마트,37.3964436,127.1117012,031-701-2500
롯데마트 평택점,경기 평택시 평택5로 30 롯데마트 평택점,36.9883806,127.11173,031-8053-2500
롯데마트 포항점,경북 포항시 남구 지곡로 247 롯데마트,36.028379,129.3243123,054-222-2500
롯데마트 행당역점,서울 성동구 행당로 82 한진타운상가 B2~B3층,37.5555573,127.0289482,02-2290-7000
롯데마트 홍성점,충남 홍성군 홍성읍 조양로247번길 9 롯데마트,36.6011474,126.6765497,041-339-2500
롯데마트 화명점,부산 북구 화명대로 47 롯데마트,35.2351734,129.01302,051-604-2500
롯데마트 화정점,경기 고양시 덕양구 화중로 66 롯데마트,37.6329073,126.8311083,031-947-2500
